agA_name	agB_name	agA_ns	agA_id	agB_ns	agB_id	residue	position	stmt_type	evidence_count	stmt_hash	belief	source_counts	initial_sign
A1CF	HIF1A	HGNC	24086	HGNC	4910			Inhibition	1	7320645532335273	1.0	{'reach': 1}	
A2M	F2	HGNC	7	HGNC	3535			Inhibition	1	34384782630683270	1.0	{'eidos': 1}	
AADAC	CD80	HGNC	17	HGNC	1700			IncreaseAmount	1	3455023122456780	1.0	{'reach': 1}	
AADAC	CDKN1A	HGNC	17	HGNC	1784			Activation	1	-8601932876917354	1.0	{'reach': 1}	
AADAC	CDKN1A	HGNC	17	HGNC	1784			IncreaseAmount	1	-29714064171817370	1.0	{'reach': 1}	
AADAC	DNMT1	HGNC	17	HGNC	2976			DecreaseAmount	1	19469313478364032	1.0	{'reach': 1}	
AADAC	DNMT1	HGNC	17	HGNC	2976			Inhibition	1	-25494731212369282	1.0	{'sparser': 1}	
AADAC	FOXO1	HGNC	17	HGNC	3819			Activation	1	27780274721078410	1.0	{'reach': 1}	
AADAC	IL6	HGNC	17	HGNC	6018			Activation	1	17586386794805800	1.0	{'reach': 1}	
AADAC	PAFAH1B1	HGNC	17	HGNC	8574			Activation	1	22486300566202269	1.0	{'reach': 1}	
AADAC	TERT	HGNC	17	HGNC	11730			DecreaseAmount	1	6287988511557468	1.0	{'reach': 1}	
AADAC	TP53	HGNC	17	HGNC	11998			Activation	1	-1005774735788381	1.0	{'reach': 1}	
AAK1	AP2M1	HGNC	19679	HGNC	564			Phosphorylation	1	16951612127379043	1.0	{'sparser': 1}	
AAK1	TF	HGNC	19679	HGNC	11740			Inhibition	1	7429014567978959	1.0	{'reach': 1}	
AATF	BIRC5	HGNC	19235	HGNC	593			Activation	1	191209596023716	1.0	{'reach': 1}	
AATF	JUN	HGNC	19235	HGNC	6204			Activation	0	-3696825089814066	1.0	{}	
AATF	TP53	HGNC	19235	HGNC	11998			Activation	1	-9321838606041261	1.0	{'reach': 1}	
AATF	TP53	HGNC	19235	HGNC	11998			IncreaseAmount	1	-6119397091480858	1.0	{'reach': 1}	
ABCA1	APOA1	HGNC	29	HGNC	600			Inhibition	0	-30788934716305897	1.0	{}	
ABCA1	APOA1	HGNC	29	HGNC	600			Activation	1	-3890659790756249	1.0	{'reach': 1}	
ABCA1	APOE	HGNC	29	HGNC	613			DecreaseAmount	1	-27144200547237707	1.0	{'reach': 1}	
ABCA1	APOE	HGNC	29	HGNC	613			Inhibition	1	-6577472308793098	1.0	{'reach': 1}	
ABCA1	APOE	HGNC	29	HGNC	613			Activation	1	-18434971071485460	1.0	{'reach': 1}	
ABCA1	APOE	HGNC	29	HGNC	613			IncreaseAmount	1	31166329894214529	1.0	{'reach': 1}	
ABCA1	APP	HGNC	29	HGNC	620			Inhibition	1	-6867731683437597	1.0	{'reach': 1}	
ABCA1	APP	HGNC	29	HGNC	620			Activation	1	-12087615661524735	1.0	{'reach': 1}	
ABCA1	CSH1	HGNC	29	HGNC	2440			Activation	1	-7972859469596915	1.0	{'reach': 1}	
ABCA1	INS	HGNC	29	HGNC	6081			Inhibition	1	-34556984346892646	1.0	{'reach': 1}	
ABCA1	JAK2	HGNC	29	HGNC	6192			Activation	1	-34996735941546803	1.0	{'reach': 1}	
ABCA1	LDLR	HGNC	29	HGNC	6547			Inhibition	1	-7867020690941692	1.0	{'reach': 1}	
ABCA1	STAT3	HGNC	29	HGNC	11364			Activation	1	15874951168520649	1.0	{'reach': 1}	
ABCA12	AKAP4	HGNC	14637	HGNC	374			Activation	1	-3228386126850069	1.0	{'eidos': 1}	
ABCA2	APP	HGNC	32	HGNC	620			IncreaseAmount	1	-33920809994023448	1.0	{'reach': 1}	
ABCA2	APP	HGNC	32	HGNC	620			IncreaseAmount	1	4049791221677264	1.0	{'reach': 1}	
ABCA2	APP	HGNC	32	HGNC	620			Activation	1	-610110234871621	1.0	{'reach': 1}	
ABCA7	APP	HGNC	37	HGNC	620			Activation	1	-25810155286797152	1.0	{'reach': 1}	
ABCA7	APP	HGNC	37	HGNC	620			Inhibition	1	-16914114172705885	1.0	{'eidos': 1}	
ABCB1	ABCG2	HGNC	40	HGNC	74			Activation	1	35234031858623814	1.0	{'reach': 1}	
ABCB1	ABCG2	HGNC	40	HGNC	74			Inhibition	1	-20289940288952734	1.0	{'reach': 1}	
ABCB1	APP	HGNC	40	HGNC	620			Inhibition	0	16733376339874672	1.0	{}	
ABCB1	APP	HGNC	40	HGNC	620			Activation	1	12535603297056462	1.0	{'reach': 1}	
ABCB1	MSH3	HGNC	40	HGNC	7326			Activation	1	-1840023174225734	1.0	{'reach': 1}	
ABCB1	TIMM8A	HGNC	40	HGNC	11817			Activation	1	-5524114460741511	1.0	{'reach': 1}	
ABCB11	ATP8B1	HGNC	42	HGNC	3706			Activation	1	-35848031555481273	1.0	{'reach': 1}	
ABCB11	NR1H4	HGNC	42	HGNC	7967			Activation	1	24932371501915079	1.0	{'reach': 1}	
ABCB4	ATP8B1	HGNC	45	HGNC	3706			Activation	1	17964472334688304	1.0	{'reach': 1}	
ABCC2	IL6	HGNC	53	HGNC	6018			Activation	1	32192423995340419	1.0	{'reach': 1}	
ABCC2	MTX1	HGNC	53	HGNC	7504			Activation	1	-1997967859351694	1.0	{'reach': 1}	
ABCC8	CASP3	HGNC	59	HGNC	1504			Activation	1	26228276449323946	1.0	{'reach': 1}	
ABCC8	INS	HGNC	59	HGNC	6081			Inhibition	1	-20886112240648720	1.0	{'reach': 1}	
ABCC8	INS	HGNC	59	HGNC	6081			Activation	1	30306674656363869	1.0	{'reach': 1}	
ABCC8	PRKCB	HGNC	59	HGNC	9395			Activation	1	1784247367653102	1.0	{'sparser': 1}	
ABCD1	CLDN2	HGNC	61	HGNC	2041			IncreaseAmount	1	-9930217329954245	1.0	{'reach': 1}	
ABCD1	NR3C2	HGNC	61	HGNC	7979			Activation	1	5252083037759048	1.0	{'reach': 1}	
