,Unnamed: 0,agA_name,agB_name,agA_ns,agA_id,agB_ns,agB_id,residue,position,stmt_type,evidence_count,stmt_hash,belief,source_counts,initial_sign
0,0,A1CF,HIF1A,HGNC,24086,HGNC,4910,,,Inhibition,1,7320645532335273,1.0,{'reach': 1},
1,1,A2M,F2,HGNC,7,HGNC,3535,,,Inhibition,1,34384782630683270,1.0,{'eidos': 1},
2,2,AADAC,CD80,HGNC,17,HGNC,1700,,,IncreaseAmount,1,3455023122456780,1.0,{'reach': 1},
3,3,AADAC,CDKN1A,HGNC,17,HGNC,1784,,,Activation,1,-8601932876917354,1.0,{'reach': 1},
4,4,AADAC,CDKN1A,HGNC,17,HGNC,1784,,,IncreaseAmount,1,-29714064171817370,1.0,{'reach': 1},
5,5,AADAC,DNMT1,HGNC,17,HGNC,2976,,,DecreaseAmount,1,19469313478364032,1.0,{'reach': 1},
6,6,AADAC,DNMT1,HGNC,17,HGNC,2976,,,Inhibition,1,-25494731212369282,1.0,{'sparser': 1},
7,7,AADAC,FOXO1,HGNC,17,HGNC,3819,,,Activation,1,27780274721078410,1.0,{'reach': 1},
8,8,AADAC,IL6,HGNC,17,HGNC,6018,,,Activation,1,17586386794805800,1.0,{'reach': 1},
9,9,AADAC,PAFAH1B1,HGNC,17,HGNC,8574,,,Activation,1,22486300566202269,1.0,{'reach': 1},
10,10,AADAC,TERT,HGNC,17,HGNC,11730,,,DecreaseAmount,1,6287988511557468,1.0,{'reach': 1},
11,11,AADAC,TP53,HGNC,17,HGNC,11998,,,Activation,1,-1005774735788381,1.0,{'reach': 1},
12,13,AAK1,TF,HGNC,19679,HGNC,11740,,,Inhibition,1,7429014567978959,1.0,{'reach': 1},
13,14,AATF,BIRC5,HGNC,19235,HGNC,593,,,Activation,1,191209596023716,1.0,{'reach': 1},
14,15,AATF,JUN,HGNC,19235,HGNC,6204,,,Activation,0,-3696825089814066,1.0,{},
15,16,AATF,TP53,HGNC,19235,HGNC,11998,,,Activation,1,-9321838606041261,1.0,{'reach': 1},
16,17,AATF,TP53,HGNC,19235,HGNC,11998,,,IncreaseAmount,1,-6119397091480858,1.0,{'reach': 1},
17,18,ABCA1,APOA1,HGNC,29,HGNC,600,,,Inhibition,0,-30788934716305897,1.0,{},
18,19,ABCA1,APOA1,HGNC,29,HGNC,600,,,Activation,1,-3890659790756249,1.0,{'reach': 1},
19,24,ABCA1,APP,HGNC,29,HGNC,620,,,Inhibition,1,-6867731683437597,1.0,{'reach': 1},
20,25,ABCA1,APP,HGNC,29,HGNC,620,,,Activation,1,-12087615661524735,1.0,{'reach': 1},
21,26,ABCA1,CSH1,HGNC,29,HGNC,2440,,,Activation,1,-7972859469596915,1.0,{'reach': 1},
22,27,ABCA1,INS,HGNC,29,HGNC,6081,,,Inhibition,1,-34556984346892646,1.0,{'reach': 1},
23,28,ABCA1,JAK2,HGNC,29,HGNC,6192,,,Activation,1,-34996735941546803,1.0,{'reach': 1},
24,29,ABCA1,LDLR,HGNC,29,HGNC,6547,,,Inhibition,1,-7867020690941692,1.0,{'reach': 1},
25,30,ABCA1,STAT3,HGNC,29,HGNC,11364,,,Activation,1,15874951168520649,1.0,{'reach': 1},
26,31,ABCA12,AKAP4,HGNC,14637,HGNC,374,,,Activation,1,-3228386126850069,1.0,{'eidos': 1},
27,32,ABCA2,APP,HGNC,32,HGNC,620,,,IncreaseAmount,1,-33920809994023448,1.0,{'reach': 1},
28,33,ABCA2,APP,HGNC,32,HGNC,620,,,IncreaseAmount,1,4049791221677264,1.0,{'reach': 1},
29,34,ABCA2,APP,HGNC,32,HGNC,620,,,Activation,1,-610110234871621,1.0,{'reach': 1},
30,35,ABCA7,APP,HGNC,37,HGNC,620,,,Activation,1,-25810155286797152,1.0,{'reach': 1},
31,36,ABCA7,APP,HGNC,37,HGNC,620,,,Inhibition,1,-16914114172705885,1.0,{'eidos': 1},
32,37,ABCB1,ABCG2,HGNC,40,HGNC,74,,,Activation,1,35234031858623814,1.0,{'reach': 1},
33,38,ABCB1,ABCG2,HGNC,40,HGNC,74,,,Inhibition,1,-20289940288952734,1.0,{'reach': 1},
34,39,ABCB1,APP,HGNC,40,HGNC,620,,,Inhibition,0,16733376339874672,1.0,{},
35,40,ABCB1,APP,HGNC,40,HGNC,620,,,Activation,1,12535603297056462,1.0,{'reach': 1},
36,41,ABCB1,MSH3,HGNC,40,HGNC,7326,,,Activation,1,-1840023174225734,1.0,{'reach': 1},
37,42,ABCB1,TIMM8A,HGNC,40,HGNC,11817,,,Activation,1,-5524114460741511,1.0,{'reach': 1},
38,43,ABCB11,ATP8B1,HGNC,42,HGNC,3706,,,Activation,1,-35848031555481273,1.0,{'reach': 1},
39,44,ABCB11,NR1H4,HGNC,42,HGNC,7967,,,Activation,1,24932371501915079,1.0,{'reach': 1},
40,45,ABCB4,ATP8B1,HGNC,45,HGNC,3706,,,Activation,1,17964472334688304,1.0,{'reach': 1},
41,46,ABCC2,IL6,HGNC,53,HGNC,6018,,,Activation,1,32192423995340419,1.0,{'reach': 1},
42,47,ABCC2,MTX1,HGNC,53,HGNC,7504,,,Activation,1,-1997967859351694,1.0,{'reach': 1},
43,48,ABCC8,CASP3,HGNC,59,HGNC,1504,,,Activation,1,26228276449323946,1.0,{'reach': 1},
44,49,ABCC8,INS,HGNC,59,HGNC,6081,,,Inhibition,1,-20886112240648720,1.0,{'reach': 1},
45,50,ABCC8,INS,HGNC,59,HGNC,6081,,,Activation,1,30306674656363869,1.0,{'reach': 1},
46,51,ABCC8,PRKCB,HGNC,59,HGNC,9395,,,Activation,1,1784247367653102,1.0,{'sparser': 1},
47,52,ABCD1,CLDN2,HGNC,61,HGNC,2041,,,IncreaseAmount,1,-9930217329954245,1.0,{'reach': 1},
48,53,ABCD1,NR3C2,HGNC,61,HGNC,7979,,,Activation,1,5252083037759048,1.0,{'reach': 1},
49,54,ABCD1,SLC12A2,HGNC,61,HGNC,10911,,,IncreaseAmount,1,696322353014497,1.0,{'reach': 1},
50,55,ABCD1,SLC12A2,HGNC,61,HGNC,10911,,,Activation,1,-13344884870826256,1.0,{'reach': 1},
51,56,ABCE1,RNASEL,HGNC,69,HGNC,10050,,,Inhibition,1,-27307237975252497,1.0,{'reach': 1},
52,57,ABCG1,APOA1,HGNC,73,HGNC,600,,,Activation,1,20904984786718481,1.0,{'reach': 1},
53,58,ABCG1,APP,HGNC,73,HGNC,620,,,Inhibition,1,-33377533630108103,1.0,{'reach': 1},
54,59,ABCG1,APP,HGNC,73,HGNC,620,,,Activation,1,4904391197083269,1.0,{'reach': 1},
55,60,ABCG2,ABCB1,HGNC,74,HGNC,40,,,Inhibition,1,24177431829868423,1.0,{'reach': 1},
56,61,ABCG2,ABCB1,HGNC,74,HGNC,40,,,Activation,1,21754561756616421,1.0,{'reach': 1},
57,63,ABCG2,DNAJC5,HGNC,74,HGNC,16235,,,Activation,1,29388879314644646,1.0,{'reach': 1},
58,64,ABCG2,MTX1,HGNC,74,HGNC,7504,,,Activation,1,-27100854519543983,1.0,{'reach': 1},
59,65,ABCG2,MTX1,HGNC,74,HGNC,7504,,,Inhibition,1,-19698519633525876,1.0,{'reach': 1},
60,66,ABCG4,APP,HGNC,13884,HGNC,620,,,Inhibition,1,-27840634192491033,1.0,{'reach': 1},
61,67,ABHD5,PNPLA2,HGNC,21396,HGNC,30802,,,Activation,1,29364171529330847,1.0,{'sparser': 1},
62,68,ABI1,ABL1,HGNC,11320,HGNC,76,,,Inhibition,0,12501207836435511,1.0,{},
63,69,ABI1,EPS8,HGNC,11320,HGNC,3420,,,Activation,1,-15765145650877468,1.0,{'reach': 1},
64,71,ABL1,ABI1,HGNC,76,HGNC,11320,,,Inhibition,1,18699119112322168,1.0,{'reach': 1},
65,76,ABL1,BCR,HGNC,76,HGNC,1014,,,Activation,1,34738962082202792,1.0,{'reach': 1},
66,81,ABL1,CAT,HGNC,76,HGNC,1516,,,Activation,0,24464456035896357,1.0,{},
67,86,ABL1,CDK5,HGNC,76,HGNC,1774,,,Activation,1,7834312169272508,1.0,{'sparser': 1},
68,88,ABL1,CDKN1A,HGNC,76,HGNC,1784,,,IncreaseAmount,1,4150958998942637,1.0,{'trrust': 1},
69,90,ABL1,CRK,HGNC,76,HGNC,2362,,,DecreaseAmount,0,-8355579842489968,1.0,{},
70,95,ABL1,CSF1,HGNC,76,HGNC,2432,,,IncreaseAmount,1,-22351424421744907,1.0,{'trrust': 1},
71,100,ABL1,EGFR,HGNC,76,HGNC,3236,,,Activation,1,18667209857086755,1.0,{'reach': 1},
72,102,ABL1,FAM126A,HGNC,76,HGNC,24587,,,Activation,1,5271377663153672,1.0,{'reach': 1},
73,104,ABL1,HDAC2,HGNC,76,HGNC,4853,,,IncreaseAmount,1,34166832112996827,1.0,{'reach': 1},
74,105,ABL1,INS,HGNC,76,HGNC,6081,,,Inhibition,1,34439161643991202,1.0,{'reach': 1},
75,120,ABL1,MRTFA,HGNC,76,HGNC,14334,,,Activation,1,-26524886121946735,1.0,{'sparser': 1},
76,122,ABL1,MYC,HGNC,76,HGNC,7553,,,IncreaseAmount,1,-11123148418597107,1.0,{'reach': 1},
