From	To
O00244	ATOX1
O00299	CLIC1
O00303	EIF3F
O00487	PSMD14
O00567	NOP56
O00767	SCD
O14556	GAPDHS
O14561	NDUFAB1
O14745	SLC9A3R1
O14980	XPO1
O15067	PFAS
O15347	HMGB3
O15355	PPM1G
O15372	EIF3H
O43143	DHX15
O43175	PHGDH
O43242	PSMD3
O43396	TXNL1
O43615	TIMM44
O43707	ACTN4
O43776	NARS1
O43818	RRP9
O60264	SMARCA5
O60568	PLOD3
O75083	WDR1
O75347	TBCA
O75348	ATP6V1G1
O75390	CS
O75396	SEC22B
O75533	SF3B1
O75643	SNRNP200
O75821	EIF3G
O75874	IDH1
O75937	DNAJC8
O76021	RSL1D1
O94826	TOMM70
O95232	LUC7L3
O95292	VAPB
O95573	ACSL3
O95881	TXNDC12
P00403	MT-CO2
P00492	HPRT1
P00505	GOT2
P00558	PGK1
P04075	ALDOA
P04080	CSTB
P04181	OAT
P04350	TUBB4A
P04406	GAPDH
P04792	HSPB1
P04843	RPN1
P05114	HMGN1
P05141	SLC25A5
P05198	EIF2S1
P05387	RPLP2
P05455	SSB
P06576	ATP5F1B
P06703	S100A6
P06733	ENO1
P07195	LDHB
P07237	P4HB
P07339	CTSD
P07437	TUBB
P07737	PFN1
P07814	EPRS1
P08238	HSP90AB1
P08670	VIM
P08708	RPS17
P08758	ANXA5
P08865	RPSA
P09211	GSTP1
P09382	LGALS1
P09429	HMGB1
P09661	SNRPA1
P09669	COX6C
P09874	PARP1
P09972	ALDOC
P10412	H1-4
P10809	HSPD1
P11021	HSPA5
P11142	HSPA8
P11216	PYGB
P11387	TOP1
P11586	MTHFD1
P12004	PCNA
P12268	IMPDH2
P12956	XRCC6
P13010	XRCC5
P13489	RNH1
P13639	EEF2
P13667	PDIA4
P13798	APEH
P14550	AKR1A1
P14618	PKM
P14625	HSP90B1
P14866	HNRNPL
P15121	AKR1B1
P15311	EZR
P15880	RPS2
P16104	H2AX
P16401	H1-5
P16402	H1-3
P16403	H1-2
P16949	STMN1
P17931	LGALS3
P17980	PSMC3
P17987	TCP1
P18077	RPL35A
P18124	RPL7
P19338	NCL
P19623	SRM
P20042	EIF2S2
P20700	LMNB1
P20962	PTMS
P21281	ATP6V1B2
P21796	VDAC1
P22087	FBL
P22626	HNRNPA2B1
P23193	TCEA1
P23246	SFPQ
P23284	PPIB
P23297	S100A1
P23368	ME2
P23396	RPS3
P23528	CFL1
P24534	EEF1B2
P24752	ACAT1
P25398	RPS12
P25685	DNAJB1
P25789	PSMA4
P26038	MSN
P26196	DDX6
P26373	RPL13
P26583	HMGB2
P26640	VARS1
P27348	YWHAQ
P27695	APEX1
P27797	CALR
P28072	PSMB6
P29966	MARCKS
P30040	ERP29
P30041	PRDX6
P30049	ATP5F1D
P30050	RPL12
P30084	ECHS1
P30086	PEBP1
P30101	PDIA3
P30520	ADSS2
P30533	LRPAP1
P30566	ADSL
P31943	HNRNPH1
P31949	S100A11
P32119	PRDX2
P32969	RPL9
P32969	RPL9P7
P32969	RPL9P8
P32969	RPL9P9
P33991	MCM4
P33992	MCM5
P34932	HSPA4
P35232	PHB1
P35249	RFC4
P35268	RPL22
P35579	MYH9
P35659	DEK
P35998	PSMC2
P36551	CPOX
P36578	RPL4
P36871	PGM1
P37837	TALDO1
P38159	RBMX
P38646	HSPA9
P38919	EIF4A3
P39019	RPS19
P39023	RPL3
P39687	ANP32A
P39748	FEN1
P40227	CCT6A
P40429	RPL13A
P40926	MDH2
